Id,IdEjemplar,SiglasColeccion,NombreColeccion,NumeroDeCatalogo,Fuente,AnioColecta,Taxa,Estado,Municipio,Altitud,Longitud,Latitud
900,9802,CIMMYT,Banco de Germoplasma de Maíz,10277-T.spp-2368-153,FY001,NA,Tripsacum dactyloides,GUERRERO,ND,1500,NA,NA
901,9803,CIMMYT,Banco de Germoplasma de Maíz,10278-T.spp-1467-120,FY001,NA,Tripsacum dactyloides hispidum,GUERRERO,ND,1450,NA,NA
902,9804,CIMMYT,Banco de Germoplasma de Maíz,10279-T.spp-1430-116,FY001,NA,Tripsacum dactyloides hispidum,GUERRERO,ND,950,NA,NA
903,9805,CIMMYT,Banco de Germoplasma de Maíz,10280-T.spp-552-6,FY001,NA,Tripsacum bravum,GUERRERO,ND,NA,NA,NA
904,9806,CIMMYT,Banco de Germoplasma de Maíz,10281-T.spp-2441-155,FY001,NA,Tripsacum bravum,GUERRERO,ND,1470,NA,NA
905,9807,CIMMYT,Banco de Germoplasma de Maíz,10282-T.spp-1327-112,FY001,NA,Tripsacum dactyloides hispidum,GUERRERO,ND,1050,NA,NA
906,9808,CIMMYT,Banco de Germoplasma de Maíz,10283-T.spp-5081-550,FY001,NA,Tripsacum peruvianum,GUERRERO,ND,NA,NA,NA
907,9809,CIMMYT,Banco de Germoplasma de Maíz,10284-T.spp-998-89,FY001,NA,Tripsacum bravum,GUERRERO,ND,650,NA,NA
908,9810,CIMMYT,Banco de Germoplasma de Maíz,10285-T.spp-1333-113,FY001,NA,Tripsacum dactyloides hispidum,GUERRERO,ND,1300,NA,NA
909,9811,CIMMYT,Banco de Germoplasma de Maíz,10286-T.spp-267-36,FY001,NA,Tripsacum bravum,JALISCO,ND,1140,NA,NA
910,9812,CIMMYT,Banco de Germoplasma de Maíz,10287-T.spp-139-24,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1420,NA,NA
911,9813,CIMMYT,Banco de Germoplasma de Maíz,10288-T.spp-5122-566,FY001,NA,Tripsacum dactyloides meridonale,JALISCO,AMATITAN,1250,NA,NA
912,9814,CIMMYT,Banco de Germoplasma de Maíz,10289-T.spp-5158-586,FY001,NA,Tripsacum dactyloides meridonale,JALISCO,AMATITAN,1250,NA,NA
913,9826,CIMMYT,Banco de Germoplasma de Maíz,10290-T.spp-734-67,FY001,NA,Tripsacum bravum,JALISCO,ND,1300,NA,NA
914,9827,CIMMYT,Banco de Germoplasma de Maíz,10291-T.spp-849-70,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1000,NA,NA
915,9829,CIMMYT,Banco de Germoplasma de Maíz,10292-T.spp-1890-126,FY001,NA,Tripsacum lanceolatum,JALISCO,ND,2050,NA,NA
916,9830,CIMMYT,Banco de Germoplasma de Maíz,10293-T.spp-5042-535,FY001,NA,Tripsacum cundinamarcae,JALISCO,ND,1200,NA,NA
917,9831,CIMMYT,Banco de Germoplasma de Maíz,10294-T.spp-1819-39,FY001,NA,Tripsacum bravum,JALISCO,ND,1200,NA,NA
918,9832,CIMMYT,Banco de Germoplasma de Maíz,10295-T.spp-1831-39,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1200,NA,NA
919,9834,CIMMYT,Banco de Germoplasma de Maíz,10296-T.spp-1814-39,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1200,NA,NA
920,9835,CIMMYT,Banco de Germoplasma de Maíz,10297-T.spp-1578-39,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1200,NA,NA
921,9836,CIMMYT,Banco de Germoplasma de Maíz,10298-T.spp-1573-39,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1200,NA,NA
922,9839,CIMMYT,Banco de Germoplasma de Maíz,10299-T.spp-304-39,FY001,NA,Tripsacum dactyloides mexicanum,JALISCO,ND,1200,NA,NA
923,9841,CIMMYT,Banco de Germoplasma de Maíz,10300-T.spp-307-39,FY001,NA,Tripsacum dactyloides meridonale,JALISCO,ND,1200,NA,NA
924,9842,CIMMYT,Banco de Germoplasma de Maíz,10301-T.spp-1563-39,FY001,NA,Tripsacum pilosum,JALISCO,ND,1200,NA,NA
925,9844,CIMMYT,Banco de Germoplasma de Maíz,10302-T.spp-1586-39,FY001,NA,Tripsacum pilosum,JALISCO,ND,1200,NA,NA
926,9845,CIMMYT,Banco de Germoplasma de Maíz,10303-T.spp-1821-39,FY001,NA,Tripsacum pilosum,JALISCO,ND,1200,NA,NA
